Blog Name,Blog Type,Post URL,Date,tags
ia-uxjobs,link,http://ia-uxjobs.tumblr.com/post/167462304491/uxjobs-canada-ui-ux-designer-mad-hatter,2017-11-13 21:34:10 GMT,"uxjobs,ux,design,jobs,interaction design,user experience,uxd,ixd"
ia-uxjobs,link,http://ia-uxjobs.tumblr.com/post/167461558231/daily-reminder-mindful-you-can-be-a-hero,2017-11-13 21:09:26 GMT,"uxjobs,ux,design,jobs,interaction design,user experience,uxd,ixd"
ia-uxjobs,link,http://ia-uxjobs.tumblr.com/post/167461412821/uxjobs-boston-user-experience-lead-consumer,2017-11-13 21:04:32 GMT,"uxjobs,ux,design,jobs,interaction design,user experience,uxd,ixd"
onlinereads,link,http://reads.tuanan.net/post/167460220991/really-good-ux,2017-11-13 20:26:25 GMT,"ux,design"
cartisien,photo,https://cartisien.tumblr.com/post/167459274839/3-essential-microinteraction-design-tips,2017-11-13 19:57:34 GMT,"DCtech,webdesign,startup,UI,UX"
vladgrama,photo,https://vladgrama.tumblr.com/post/167457474722/designers-pub-landing-page-concept-flat-design,2017-11-13 18:57:25 GMT,"design,interface,graphic,ui,ux,uiux,uxdesign,ux design,landing,webdesign,web design,wordpress,theme,graphicdesign,graphic design,userexperience,user experience,user interface,userinterface,flat design,flatdesign,flat,behance,portfolio,gallery,web developer,web,webdeveloper,mobile.,app"
indiexp,text,https://indiexp.tumblr.com/post/167454932755/leos-fortune,2017-11-13 17:29:26 GMT,"ui,gamereview,ux,gamedev,indiegames"
theodorerichardsco,photo,http://theodorerichards.co/post/167454563799/day-49-messaging-with-only-text-flip-this,2017-11-13 17:16:02 GMT,"design,apps,redesign,ui,ux,100appredesigns"
ia-uxjobs,link,http://ia-uxjobs.tumblr.com/post/167454243196/uxjobs-bay-area-product-designer-quip,2017-11-13 17:04:04 GMT,"uxjobs,ux,design,jobs,interaction design,user experience,uxd,ixd"
clovisrochon,text,https://clovisrochon.tumblr.com/post/167454152986/larchitecture-agile-mais-où-sont-les-plans,2017-11-13 17:01:17 GMT,"gestiondeprojet,agile,SCRUM,Kanban,UX,Ergonomie"
